X,Y,Timestamp,ID,scalerank,featurecla,labelrank,country,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
-0.34,51.622,2014/08/05 19:01:51+00,d35hw9imdTZ4,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
8.9707,45.9705,2017/04/09 14:11:23+00,SPmVIcDMo4t3,"1",Admin-0 country,4,Switzerland,CHE,0,2,Sovereign country,Switzerland,CHE,0,Switzerland,CHE,0,Switzerland,CHE,0,Switzerland,Switzerland,CHE,Switzerland,,Switz.,CH,Swiss Confederation,,,,Switzerland,,5,2,7,3,7604467,316700,,2010,,2. Developed region: nonG7,1. High income: OECD,,,CH,CHE,"756","756",CH,CHE,,CHE,CHE,,,Europe,Europe,Western Europe,Europe & Central Asia,11,11,6,,1
12.4913,41.8892,2017/11/14 11:02:44+00,qsiqRePly2fQ,"1",Admin-0 country,2,Italy,ITA,0,2,Sovereign country,Italy,ITA,0,Italy,ITA,0,Italy,ITA,0,Italy,Italy,ITA,Italy,,Italy,I,Italian Republic,,,,Italy,,6,7,8,7,58126212,1823000,,2012,,1. Developed region: G7,1. High income: OECD,,,IT,ITA,"380","380",IT,ITA,,ITA,ITA,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,5,,1
-0.1191,51.5039,2017/12/22 12:44:20+00,F7h5g3dBRbP2,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-4.1144,50.3954,2018/04/24 16:39:08+00,z4v3pTlh0EmJ,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
12.5286,55.6791,2018/05/20 15:58:45+00,PTHrONcklMPO,"1",Admin-0 country,4,Denmark,DN1,1,2,Country,Denmark,DNK,0,Denmark,DNK,0,Denmark,DNK,0,Denmark,Denmark,DNK,Denmark,,Den.,DK,Kingdom of Denmark,,,,Denmark,,4,1,3,12,5500510,203600,,2011,,2. Developed region: nonG7,1. High income: OECD,,,DK,DNK,"208","208",DK,DNK,,DNK,DNK,,,Europe,Europe,Northern Europe,Europe & Central Asia,7,7,4,,1
12.5281,55.6784,2018/05/25 14:22:43+00,XDbHeFrvYEAO,"1",Admin-0 country,4,Denmark,DN1,1,2,Country,Denmark,DNK,0,Denmark,DNK,0,Denmark,DNK,0,Denmark,Denmark,DNK,Denmark,,Den.,DK,Kingdom of Denmark,,,,Denmark,,4,1,3,12,5500510,203600,,2011,,2. Developed region: nonG7,1. High income: OECD,,,DK,DNK,"208","208",DK,DNK,,DNK,DNK,,,Europe,Europe,Northern Europe,Europe & Central Asia,7,7,4,,1
-0.1262,51.5034,2018/06/09 14:21:51+00,jIzGQp1plFuI,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
15.3286,48.2336,2018/06/22 15:27:49+00,uCcWK7lkIUv6,"1",Admin-0 country,4,Austria,AUT,0,2,Sovereign country,Austria,AUT,0,Austria,AUT,0,Austria,AUT,0,Austria,Austria,AUT,Austria,,Aust.,A,Republic of Austria,,,,Austria,,3,1,3,4,8210281,329500,,2011,,2. Developed region: nonG7,1. High income: OECD,,,AT,AUT,"040","040",AT,AUT,,AUT,AUT,,,Europe,Europe,Western Europe,Europe & Central Asia,7,7,5,,1
-0.6117,51.4811,2018/06/30 09:55:29+00,DMEgKovTRbIl,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-3.6806,40.5122,2018/07/23 17:53:15+00,btQpWOiLZN70,"1",Admin-0 country,2,Spain,ESP,0,2,Sovereign country,Spain,ESP,0,Spain,ESP,0,Spain,ESP,0,Spain,Spain,ESP,Spain,,Sp.,E,Kingdom of Spain,,,,Spain,,4,5,5,5,40525002,1403000,,2001,,2. Developed region: nonG7,1. High income: OECD,,,ES,ESP,"724","724",ES,ESP,,ESP,ESP,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,3,,1
10.0403,51.8752,2018/08/09 11:47:33+00,m7Wiz0JNiEBQ,"1",Admin-0 country,2,Germany,DEU,0,2,Sovereign country,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,,,Germany,,2,5,5,1,82329758,2918000,,2011,,1. Developed region: G7,1. High income: OECD,,,DE,DEU,"276","276",DE,DEU,,DEU,DEU,,,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,,1
12.4847,41.8949,2018/09/14 15:08:14+00,WMtrVQd6CP0x,"1",Admin-0 country,2,Italy,ITA,0,2,Sovereign country,Italy,ITA,0,Italy,ITA,0,Italy,ITA,0,Italy,Italy,ITA,Italy,,Italy,I,Italian Republic,,,,Italy,,6,7,8,7,58126212,1823000,,2012,,1. Developed region: G7,1. High income: OECD,,,IT,ITA,"380","380",IT,ITA,,ITA,ITA,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,5,,1
12.472,41.8957,2018/09/29 17:33:18+00,FDYJSsInyzHb,"1",Admin-0 country,2,Italy,ITA,0,2,Sovereign country,Italy,ITA,0,Italy,ITA,0,Italy,ITA,0,Italy,Italy,ITA,Italy,,Italy,I,Italian Republic,,,,Italy,,6,7,8,7,58126212,1823000,,2012,,1. Developed region: G7,1. High income: OECD,,,IT,ITA,"380","380",IT,ITA,,ITA,ITA,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,5,,1
12.472,41.8957,2018/09/29 17:33:18+00,JYFQmfyazXeG,"1",Admin-0 country,2,Italy,ITA,0,2,Sovereign country,Italy,ITA,0,Italy,ITA,0,Italy,ITA,0,Italy,Italy,ITA,Italy,,Italy,I,Italian Republic,,,,Italy,,6,7,8,7,58126212,1823000,,2012,,1. Developed region: G7,1. High income: OECD,,,IT,ITA,"380","380",IT,ITA,,ITA,ITA,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,5,,1
4.9059,52.3187,2018/11/11 13:59:57+00,JtYwwOEBhinP,"1",Admin-0 country,5,Netherlands,NL1,1,2,Country,Netherlands,NLD,0,Netherlands,NLD,0,Netherlands,NLD,0,Netherlands,Netherlands,NLD,Netherlands,,Neth.,NL,Kingdom of the Netherlands,,,,Netherlands,,4,2,2,9,16715999,672000,,2011,,2. Developed region: nonG7,1. High income: OECD,,,NL,NLD,"528","528",NL,NLD,,NLD,NLD,,,Europe,Europe,Western Europe,Europe & Central Asia,11,11,5,,1
2.3484,48.8526,2018/11/30 12:16:50+00,J8o1UCFNUTYn,"1",Admin-0 country,2,France,FR1,1,2,Country,France,FRA,0,France,FRA,0,France,FRA,0,France,France,FRA,France,,Fr.,F,French Republic,,,,France,,7,5,9,11,64057792,2128000,,,,1. Developed region: G7,1. High income: OECD,,,FR,FRA,"250","250",FR,FRA,,FRA,FRA,,,Europe,Europe,Western Europe,Europe & Central Asia,6,6,3,,1
-2.0989,57.1601,2018/12/07 20:23:45+00,TCcN6NJd70VW,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-2.0989,57.1601,2018/12/08 21:45:58+00,OOJyJfpkD0Av,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-21.1172,64.2657,2018/12/24 14:41:34+00,kYxZbziGNUgq,"1",Admin-0 country,3,Iceland,ISL,0,2,Sovereign country,Iceland,ISL,0,Iceland,ISL,0,Iceland,ISL,0,Iceland,Iceland,ISL,Iceland,,Iceland,IS,Republic of Iceland,,,,Iceland,,1,4,4,9,306694,12710,,,,2. Developed region: nonG7,1. High income: OECD,,,IS,ISL,"352","352",IS,ISL,,ISL,ISL,,,Europe,Europe,Northern Europe,Europe & Central Asia,7,7,7,,1
